college_name,state,stream,ug_fee,pg_fee,rating,academic,accommodation,faculty,infrastructure,placement,social_life,institute_canonical,match_type,needs_manual_review
Indian Institute of Technology Madras,Tamil Nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,IIT Madras,EXACT,False
"College of Engineering, Anna University",Tamil Nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,"College of Engineering, Anna University",EXACT,False
"NIT Trichy, Tiruchirappalli",Tamil Nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,"NIT Trichy, Tiruchirappalli",EXACT,False
Vellore Institute of Technology,Tamil Nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,Vellore Institute of Technology,EXACT,False
"SRM Engineering College, Kanchipuram",Tamil Nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3,"SRM Engineering College, Kanchipuram",EXACT,False
SSN College of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,SSN College of Engineering,EXACT,False
"SASTRA University, Thanjavur",Tamil Nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,"SASTRA University, Thanjavur",EXACT,False
P.S.G College of Technology,Tamil Nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,P.S.G College of Technology,EXACT,False
Thiagarajar College of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,Thiagarajar College of Engineering,EXACT,False
Coimbatore Institute of Technology,Tamil Nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,Coimbatore Institute of Technology,EXACT,False
Karunya Institute of Technology and Sciences,Tamil Nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4,Karunya Institute of Technology and Sciences,EXACT,False
Kumaraguru College of Technology,Tamil Nadu,Engineering,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5,Kumaraguru College of Technology,EXACT,False
"VEL Tech, Chennai",Tamil Nadu,Engineering,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1,"VEL Tech, Chennai",EXACT,False
"Mepco Schlenk Engineering College, Sivakasi",Tamil Nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7,Mepco Schlenk Engineering College,EXACT,False
Government College of Technology,Tamil Nadu,Engineering,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8,Government College of Technology,EXACT,False
Hindustan Institute of Technology and Science,Tamil Nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8,Hindustan Institute of Technology and Science,EXACT,False
Sri Krishna College of Engineering and Technology,Tamil Nadu,Engineering,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7,Sri Krishna College of Engineering and Technology,EXACT,False
Kongu Engineering College,Tamil Nadu,Engineering,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3,Kongu Engineering College,EXACT,False
Bannari Amman Institute of Technology,Tamil Nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2,Bannari Amman Institute of Technology,EXACT,False
"Sona College of Technology, Salem",Tamil Nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5,"Sona College of Technology, Salem",EXACT,False
Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu,Engineering,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4,Tamil Nadu Veterinary and Animal Sciences University,EXACT,False
"St. Joseph College Of Engineering, Kanchipuram",Tamil Nadu,Engineering,"60,000","65,000",8,7,--,--,9,8,--,St. Joseph College Of Engineering,EXACT,False
Saveetha Engineering College,Tamil Nadu,Engineering,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9,Saveetha Engineering College,EXACT,False
"Sri Sairam Engineering College, Chennai",Tamil Nadu,Engineering,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7,"Sri Sairam Engineering College, Chennai",EXACT,False
B.S. Abdur Rahman Crescent Institute of Science,Tamil Nadu,Engineering,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2,B.S. Abdur Rahman Crescent Institute of Science,EXACT,False
Sri Ramakrishna Engineering College,Tamil Nadu,Engineering,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8,Sri Ramakrishna Engineering College,EXACT,False
Rajalakshmi Engineering College,Tamil Nadu,Engineering,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7,Rajalakshmi Engineering College,EXACT,False
Sri Venkateswara College of Engineering,Tamil Nadu,Engineering,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8,Sri Venkateswara College of Engineering,EXACT,False
IIT Bombay,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,IIT Bombay,EXACT,False
Institute of Chemical Technology,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1,Institute of Chemical Technology,EXACT,False
Visvesvaraya National Institute of Technology,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7,Visvesvaraya NIT,EXACT,False
College of Engineering,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1,College of Engineering,EXACT,False
Defence Institute of Advanced Technology,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6,Defence Institute of Advanced Technology,EXACT,False
National Institute of Industrial Engineering,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6,National Institute of Industrial Engineering,EXACT,False
Army Institute of Technology,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9,Army Institute of Technology,EXACT,False
Bharati Vidyapeeth Deemed University,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2,Bharati Vidyapeeth Deemed University,EXACT,False
Veermata Jijabai Technological Institute,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4,Veermata Jijabai Technological Institute,EXACT,False
GH Raisoni College of Engineering,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8,GH Raisoni College of Engineering,EXACT,False
Mukesh Patel School of Technology Management and,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3,Mukesh Patel School of Technology Management and,EXACT,False
Sardar Patel Institute of Technology,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1,Sardar Patel Institute of Technology,EXACT,False
Shri Ramdeobaba College of Engineering and Management,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2,Shri Ramdeobaba College of Engineering and Management,EXACT,False
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Engineering,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4,Rashtrasant Tukadoji Maharaj Nagpur University,EXACT,False
Yeshwantrao Chavan College of Engineering,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6,Yeshwantrao Chavan College of Engineering,EXACT,False
Walchand College of Engineering,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4,Walchand College of Engineering,EXACT,False
MIT World Peace University,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4,MIT World Peace University,EXACT,False
Vishwakarma Institute of Information Technology,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1,Vishwakarma Institute of Information Technology,EXACT,False
Ramrao Adik Institute of Technology,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3,Ramrao Adik Institute of Technology,EXACT,False
Sardar Patel College of Engineering,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2,Sardar Patel College of Engineering,EXACT,False
K. J. Somaiya College of Engineering,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5,K. J. Somaiya College of Engineering,EXACT,False
Pimpri Chinchwad College of Engineering,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5,Pimpri Chinchwad College of Engineering,EXACT,False
"MKSSS's Cummins College of Engineering for Women,",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6,MKSSS's Cummins College of Engineering for Women,EXACT,False
Dwarkadas J Sanghvi College of Engineering,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2,Dwarkadas J Sanghvi College of Engineering,EXACT,False
Thakur College of Engineering and Technology,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4,Thakur College of Engineering and Technology,EXACT,False
SVKM's Narsee Monjee Institute of Management Studies,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7,SVKM's Narsee Monjee Institute of Management Studies,EXACT,False
"Amity University, Mumbai",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6,"Amity University, Mumbai",EXACT,False
"Vishwakarma Institute of Technology, Pune",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4,Vishwakarma Institute of Technology,EXACT,False
Indian Institute of Information Technology,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5,IIIT,EXACT,False
Tata Institute of Social Sciences,Maharashtra,Engineering,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6,Tata Institute of Social Sciences,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1,IIT,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Engineering,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2,IIT,EXACT,False
"Amity University, Noida",Uttar Pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"Amity University, Noida",EXACT,False
Aligarh Muslim University,Uttar Pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6,Aligarh Muslim University,EXACT,False
MNNIT Allahabad,Uttar Pradesh,Engineering,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2,MNNIT Allahabad,EXACT,False
Jaypee Institute of Information Technology University,Uttar Pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,Jaypee Institute of Information Technology University,EXACT,False
Indian Institute of Information Technology,Uttar Pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1,IIIT,EXACT,False
"Dayalbagh Educational Institute Faculty of Engineering, Agra",Uttar Pradesh,Engineering,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8,Dayalbagh Educational Institute Faculty of Engineering,EXACT,False
Sharda University,Uttar Pradesh,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,Sharda University,EXACT,False
Galgotias University,Uttar Pradesh,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,Galgotias University,EXACT,False
"Bennett University, Greater Noida",Uttar Pradesh,Engineering,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6,"Bennett University, Greater Noida",EXACT,False
Shiv Nadar University,Uttar Pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,Shiv Nadar University,EXACT,False
"Integral University, Lucknow",Uttar Pradesh,Engineering,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4,"Integral University, Lucknow",EXACT,False
